"","Country","start_date","end_date"
"1","United States of America",10,7
"2","China",10,4
"3","China",10,5
"4","China",9,6
"5","India",6,10
"6","India",12,6
"7","Australia",6,11
"8","China",5,10
"9","Spain",12,7
"10","India",11,3
"11","China",4,9
"12","Canada",10,7
"13","Pakistan",11,5
"14","Brazil",5,10
"15","China",4,10
"16","Norway",11,6
"17","Denmark",10,8
"18","Mexico",11,5
"19","Germany",10,8
"20","Japan",10,7
"21","Kenya",10,2
"22","Italy",10,7
"23","Sweden",10,7
"24","Germany",11,6
"25","Germany",11,8
"26","Switzerland",10,8
"27","Switzerland",11,8
"28","Nepal",11,5
"29","United Kingdom",11,8
"30","Morocco",12,6
"31","China",11,5
"32","Ethiopia",11,3
"33","Poland",10,8
"34","Czechia",11,6
"35","Estonia",9,8
"36","Algeria",11,7
"37","Afghanistan",11,5
"38","Azerbaijan",11,5
"39","Bulgaria",10,7
"40","Croatia",11,6
"41","Iran",10,6
"42","Russia",9,8
"43","Serbia",10,8
"44","Turkey",10,7
"45","Ukraine",9,8
"46","Uzbekistan",11,5
"47","Kazakhstan",9,7
"48","Lebanon",11,7
