ahc_cluster,Location,Rows_at_Location
2005000,"Carrington, ND",2
2005000,"Crookston, MN",2
2005000,"Langdon, ND",2
2005001,"Butte County and Colusa County, CA",130
2005001,"Sacramento Delta, CA",66
2005001,"Yolo County at the University of California Davis, CA",66
2005002,Saku,14
2005002,Auksi,12
2005003,"Kern County, CA",74
2005003,"Kings County, CA",74
2005004,"Brookings, SD",2
2005005,Krakow,12
2005006,"St. Paul, MN",2
2005007,Broadbalk,300
2005008,"Selby, SD",2
2005009,Yaqui Valley (Cajeme District),2
2006000,"Carrington, ND",1
2006000,"Crookston, MN",1
2006000,"Langdon, ND",1
2006001,"Kern County, CA",37
2006001,"Kings County, CA",37
2006002,Broadbalk,150
2006002,Hillesden Estate,22
2006003,"Sacramento Delta, CA",37
2006003,"Yolo County at the University of California Davis, CA",37
2006004,Krakow,6
2006005,"St. Paul, MN",1
2006006,"Selby, SD",1
2006007,Yaqui Valley (Cajeme District),1
2006008,"Brookings, SD",1
2008000,"Carrington, ND",1
2008000,"Crookston, MN",1
2008000,"Langdon, ND",1
2008001,"Butte County and Colusa County, CA",40
2008001,"Sacramento Delta, CA",40
2008001,"Yolo County at the University of California Davis, CA",40
2008002,"Flakkebjerg, Denmark",4
2008002,"Foulum, Denmark",4
2008003,Broadbalk,132
2008003,Hillesden Estate,29
2008004,"Kern County, CA",40
2008004,"Kings County, CA",40
2008005,Yaqui Valley (Cajeme District),1
2008006,"Celaya, Mexico",4
2008007,Ihinger Hof (conventional farming research station),20
2008007,Kleinhohenheim (organic farming research station),1
2008008,"St. Paul, MN",1
2008009,Saku,3
2008010,"Selby, SD",1
2008011,"Brookings, SD",1
2009000,"Carrington, ND",1
2009000,"Crookston, MN",1
2009000,"Langdon, ND",1
2009001,"Kern County, CA",33
2009001,"Kings County, CA",33
2009002,"Sacramento Delta, CA",33
2009002,"Yolo County at the University of California Davis, CA",33
2009002,"Butte County and Colusa County, CA",32
2009003,Broadbalk,150
2009003,Hillesden Estate,28
2009004,Norman E. Borlaug Experiment Station (CENEB),70
2009004,Yaqui Valley (Cajeme District),1
2009005,"St. Paul, MN",1
2009006,"Selby, SD",1
2009007,Auksi,3
2009008,"Brookings, SD",1
2010000,"Carrington, ND",1
2010000,"Crookston, MN",1
2010000,"Langdon, ND",1
2010001,"Kings County, CA",41
2010001,"Kern County, CA",36
2010002,"Butte County and Colusa County, CA",37
2010002,"Yolo County at the University of California Davis, CA",35
2010002,"Sacramento Delta, CA",33
2010002,California,5
2010003,Broadbalk,150
2010003,Hillesden Estate,29
2010004,"Kellogg Biological Station (KBS) Long-Term Ecological Research (LTER) site, MI",35
2010005,Aberdeen,2
2010006,"St. Paul, MN",1
2010007,Norman E. Borlaug Experiment Station (CENEB),72
2010007,Yaqui Valley (Cajeme District),1
2010008,"Selby, SD",1
2010009,"Brookings, SD",1
2011000,"Carman, Canada",6
2011000,"Oak Bluff, Canada",6
2011000,"Manitoba, Canada",3
2011001,"Kern County, CA",39
2011001,"Kings County, CA",39
2011002,"Yolo County at the University of California Davis, CA",39
2011002,"Butte County and Colusa County, CA",37
2011002,"Sacramento Delta, CA",37
2011002,California,5
2011003,"Imperial County, CA",33
2011004,Broadbalk,150
2011004,Hillesden Estate,28
2011005,"Norwegian Institute of Bioeconomy Research, Norway",5
2011006,"Gauna, Spain",10
2011007,ZP Agra VelkÃ½ TÃ½nec,6
2011008,"Stuttgart, Germany",8
2011009,Norman E. Borlaug Experiment Station (CENEB),72
2011009,Yaqui Valley (Cajeme District),1
2012000,"Kern County, CA",38
2012000,"Kings County, CA",35
2012001,"Yolo County at the University of California Davis, CA",33
2012001,"Butte County and Colusa County, CA",31
2012002,"Carman, Canada",6
2012002,"Oak Bluff, Canada",6
2012003,"Munster, Germany",7
2012003,"Billerbeck, Germany",4
2012003,"Lavesum, Germany",4
2012004,Norman E. Borlaug Experiment Station (CENEB),72
2012004,Yaqui Valley (Cajeme District),1
2012005,"Imperial County, CA",38
2012006,Broadbalk,150
2012007,Agroscope Research Station,16
2012008,ZP Agra VelkÃ½ TÃ½nec,6
2012009,"Kiel, Germany",7
2013000,"Carrington, ND",1
2013000,"Crookston, MN",1
2013001,"Manitoba, Canada",3
2013001,"Langdon, ND",1
2013002,"Yolo County at the University of California Davis, CA",51
2013002,"Butte County and Colusa County, CA",46
2013002,"Sacramento Delta, CA",45
2013003,"Munster, Germany",4
