Column,Discription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Identification number for observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continent,Continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
location,Location name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long,Longitude ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lat,Latitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,Year of experiment  or observation taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yield,Grain yield t/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Nitrogen rates kg/ha,"Associated with yield observation/ for points missing N, rates obtained from crop-year and cell specific N rates from  Adalibieke_2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_original,Nitrogen rates kg/ha,"N rates associated with yield observations, but missing for 31% of data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original P,P2O5 rates kg/ha,"P2O5 rates associated with yield observations, missing for ~70% of data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pesticide,"If pesticides applied ""Yes"", if not applied ""No""","Associated with yield observation, but not available for mostpoints",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variety,Variety of maize cultivated ,"Associated with yield observation, but not available for mostpoints",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrigation,Rianfed / irrigated ,"Associated with yield observation, but not available for mostpoints",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillage,Conventional / conservation,"Associated with yield observation, but not available for mostpoints",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source_ID,Dataset specific source,A specific source for each dataset os generated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,Generic Source,This refers to database from which the dataset is downloaded ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uint_code,Map unite codes for cell-specific Condensed Crop Calendars (CCC)," Cell-specific Condensed Crop Calendars (CCC) dataset (Portmann, Siebert and Döll, 2010), https://www.uni-frankfurt.de/45218031/Data_download_center_for_MIRCA2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainfed_start_date,Rainfed Start date," Cell-specific Condensed Crop Calendars (CCC) dataset (Portmann, Siebert and Döll, 2010), https://www.uni-frankfurt.de/45218031/Data_download_center_for_MIRCA2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainfed_end_date,Rainfed end date," Cell-specific Condensed Crop Calendars (CCC) dataset (Portmann, Siebert and Döll, 2010), https://www.uni-frankfurt.de/45218031/Data_download_center_for_MIRCA2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irr_start_date,Irrigated Start date," Cell-specific Condensed Crop Calendars (CCC) dataset (Portmann, Siebert and Döll, 2010), https://www.uni-frankfurt.de/45218031/Data_download_center_for_MIRCA2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irr_end_date,Irrigated end date," Cell-specific Condensed Crop Calendars (CCC) dataset (Portmann, Siebert and Döll, 2010), https://www.uni-frankfurt.de/45218031/Data_download_center_for_MIRCA2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
